Pop,PM,NCD25,NCD30,NCD35,NCD40,NCD45,NCD50,NCD55,NCD60,NCD65,NCD70,NCD75,NCD80,NCD85,NCD90,NCD95
26232861,44,1045,1477,2309,3844,7890,13174,16120,20408,20602,27095,31379,29096,16930,7263,2206
42494,8,2,2,3,8,17,32,45,44,48,25,30,19,17,7,3
5348847,7,70,98,152,234,447,743,1077,1810,2609,4158,4514,5406,6220,5242,3257
4583999,45,115,186,231,264,344,480,683,812,1024,1242,1134,851,377,256,51
224062847,63,15994,19796,25777,37838,47868,61622,72621,86146,89887,91334,83255,66162,37233,16470,5606
4956597,31,127,131,186,267,449,757,1103,1314,1578,1773,1846,1510,1163,522,176
4160457,13,102,137,179,274,406,616,847,1052,1330,1662,1879,2070,1877,1433,1114
9866614,16,622,911,1317,2034,2620,3398,3936,4243,4034,4117,3124,2195,1299,606,200
6930455,13,193,282,403,616,887,1369,1895,2455,2813,2959,3210,3069,2490,1577,1283
33995397,31,971,1194,1621,2346,3197,4481,5818,7319,9142,10854,12887,13789,14347,9772,6075
112142764,19,5876,7967,11350,16042,22918,31233,40184,48725,52834,49798,45327,42039,27516,14862,4672
38434445,23,609,1270,2557,4395,6925,10715,18810,32742,42084,42169,40327,55989,59274,37529,14498
10651263,8,96,160,359,814,1396,2251,3314,4542,6319,9092,12421,18679,21129,14638,6362
3521431,7,70,105,179,294,478,817,1278,1799,2406,3405,3773,4332,4098,3064,2640
2864548,76,55,84,121,138,215,251,343,358,354,341,261,187,70,17,2
19237066,16,312,634,1153,2696,5067,8552,10706,18861,24883,26766,32804,45393,38773,20877,6373
146717427,12,6242,16274,24867,32039,43008,59147,104540,155415,178376,170306,168984,264183,181637,131520,35317
12688117,36,440,636,843,1122,1334,1888,2602,3493,3967,3583,3440,3103,1826,795,221
174626,21,7,10,16,27,45,64,82,99,103,140,142,157,147,103,34
113144,21,5,7,11,19,33,48,61,74,81,98,114,132,103,47,14
211354,11,12,17,24,37,58,81,104,116,111,108,122,128,99,49,16
205385,31,9,12,17,24,33,42,54,65,71,69,78,79,56,27,8
35731972,62,1211,2132,3657,5735,7497,8325,9146,9269,8847,8007,6181,4823,3862,2781,892
15134067,60,594,685,845,1230,1554,2268,2973,3931,4376,4684,4925,4591,3044,1493,493
8746785,25,131,240,450,850,1549,2864,4694,8184,13309,12399,17553,26277,16847,4999,924
102145,16,4,7,11,20,30,42,55,65,64,62,80,73,59,34,13
8284755,51,382,457,541,776,917,1241,1438,1828,2061,2222,2526,2160,1207,590,191
5667451,19,48,73,158,256,423,722,1147,1592,2024,2294,2429,2633,2165,1544,952
5437223,18,80,155,314,618,994,1558,2614,4328,5733,6038,6802,7541,7058,3944,1692
2074271,17,18,35,71,128,231,459,736,1150,1604,1714,2487,3279,3228,2334,1137
655632,13,86,135,209,330,424,463,490,464,433,381,298,191,81,19,4
20343112,30,756,855,1449,2749,3082,2843,3747,5307,5935,4966,3690,2361,1095,370,84
55588425,29,2305,4098,4824,5683,7373,11648,17299,24256,27097,25868,25387,29164,23510,11718,3358
53398252,27,430,736,1621,3002,5922,9337,14042,18662,20479,28364,39791,47010,40541,23629,10629
9282963,38,175,261,422,684,940,1298,1529,1850,1967,2225,2135,1759,1028,567,235
46021218,10,369,645,1313,2803,5162,8935,12918,16974,22010,31888,41340,63811,86327,65571,33005
21854452,20,496,717,1287,1956,3032,4832,6800,9745,13806,16993,15452,15142,11643,6017,2221
40808425,55,1485,1903,2549,3580,5070,7041,8223,10444,12130,14342,15254,14015,9267,4830,2373
575888,21,25,37,60,80,131,224,307,343,359,379,427,400,289,153,95
1142109,23,53,81,120,178,243,318,389,496,575,589,544,378,183,63,16
10222546,6,175,207,247,383,723,1284,2069,3341,5320,8899,11877,14132,15006,12685,8236
8775204,10,86,133,206,349,633,1211,1968,2741,3727,5448,7459,9858,12214,9978,6543
14491247,31,285,432,922,1463,2656,4256,5730,7392,8418,8218,8820,8566,7164,1723,341
23620243,23,359,738,1769,3087,4415,6699,9571,12553,15624,15506,19164,22934,21562,14770,7975
9492414,38,517,727,851,1049,1472,2241,3704,4575,4796,3790,4004,3977,1821,806,263
56736116,25,1773,2183,2953,4406,5642,7772,9406,12012,14510,15793,16386,14727,8662,3894,1412
70111586,27,2050,3678,6491,9883,14458,20965,26825,34191,37954,42192,44744,49794,39470,27025,15977
376940,16,20,31,50,73,109,155,191,220,224,215,235,229,166,103,63
2245866,58,99,114,152,218,265,354,423,540,600,634,783,732,441,163,47
1334823,16,40,48,62,106,179,242,308,533,761,781,652,508,361,126,33
7921527,46,354,452,583,902,1143,1524,1786,2044,2308,2143,2156,1575,905,383,131
102350,11,4,5,9,14,22,32,40,47,55,61,67,69,57,31,15
1387457,22,48,87,133,185,276,462,784,1054,1253,1361,1304,1180,910,562,401
11571604,30,216,373,611,955,1374,2150,3560,4998,6247,7208,7965,9385,7535,3761,1542
81359693,26,1375,2057,3506,6281,9562,16176,23907,33098,40570,53210,51616,58271,53817,30067,12836
5083080,26,440,578,763,1064,1442,2002,2969,3555,3158,2521,2665,2886,1754,1123,458
41117856,35,1364,1600,2047,2984,3833,5062,6207,7404,8264,9325,9143,7658,4213,1938,718
44042431,15,2702,5903,9578,13120,17902,24453,39957,57062,68898,67300,83558,111924,70850,44343,11218
9241704,44,178,1082,1870,2742,3030,3182,2566,2414,1796,842,579,403,200,67,11
67220447,10,1254,2055,3049,4442,7627,13048,19823,27569,39313,63274,73603,93323,96204,72899,33386
327978730,8,14011,18344,23318,31606,51720,86953,144245,201557,245391,302395,321722,344799,346260,289312,194466
3436137,10,62,101,167,289,465,785,1343,1944,2495,3215,3843,4655,4663,3105,1634
33677096,35,2440,3465,4128,5477,7762,12251,19124,25636,22684,17330,21425,15104,4452,911,97
294550,13,28,41,56,80,103,125,147,182,188,194,198,139,72,20,4
28068986,22,839,1186,1881,3018,4770,7587,10893,14457,17091,18025,17789,17047,11902,9368,6443
96372928,20,2656,3979,6929,11901,20197,31020,44288,53784,54259,51851,58142,67019,57377,26226,10021
103985,9,2,3,6,13,26,49,75,107,146,210,194,151,92,51,22
31502896,44,937,1450,2276,3415,4173,5395,6871,9129,10499,11381,10799,8743,5479,2396,838
18237683,26,852,1015,1399,2151,2673,3208,3680,4335,4572,5091,4936,3888,2181,773,211
15010852,21,602,854,1310,1943,2533,3217,4017,5317,6151,5879,4995,3856,2284,1049,304
