int,gamma,delta,theta,alpha,mu,v
0.004519282,1.652987891,24.20974726,-1.273514148,22.64801867,0.722892264,1.561428368
0.011216744,-7.29526771,35.5383946,2.510886453,6.418583899,-2.377564874,8.415177314
0.012373831,-6.873011643,35.5383946,2.374001102,6.418583899,-2.377564874,8.415177314
0.009357831,1.461344209,24.20974726,-1.112392371,22.64801867,0.722892264,1.561428368
-0.013216069,-1.346646118,4.46373928,1.163200715,2.338870118,-11.54775927,10.54548438
-0.003414798,1.074374317,21.83906127,-1.072739053,32.10289695,1.179365953,1.574590762
0.010755559,1.200681039,24.20974726,-0.853897317,22.64801867,0.722892264,1.561428368
-0.006838484,1.636927049,24.20974726,-1.227409735,22.64801867,0.722892264,1.561428368
-0.00712018,1.297515289,21.83906127,-1.379350516,32.10289695,1.179365953,1.574590762
0.001125417,1.17707036,21.83906127,-1.238485979,32.10289695,1.179365953,1.574590762
-0.00732816,-1.269982204,4.46373928,1.094753253,2.338870118,-11.54775927,10.54548438
-0.0042441,1.844490153,24.20974726,-1.423059539,22.64801867,0.722892264,1.561428368
0.01544555,1.209754576,24.20974726,-0.88484176,22.64801867,0.722892264,1.561428368
-0.01437791,1.385594519,21.83906127,-1.481398406,32.10289695,1.179365953,1.574590762
0.00068481,1.039890229,21.83906127,-1.024117912,32.10289695,1.179365953,1.574590762
-0.010472901,1.209592553,21.83906127,-1.247427328,32.10289695,1.179365953,1.574590762
-0.000423625,6.339098538,27.82410651,-7.428697658,35.76400819,-3.176982476,1.403557444
-0.00483884,1.301706202,21.83906127,-1.400383259,32.10289695,1.179365953,1.574590762
-0.010027479,1.424947261,21.83906127,-1.540891259,32.10289695,1.179365953,1.574590762
-0.002003735,1.235876326,21.83906127,-1.316111345,32.10289695,1.179365953,1.574590762
0.006662084,1.129738444,21.83906127,-1.207422864,32.10289695,1.179365953,1.574590762
0.000117988,6.783523855,27.82410651,-7.980935226,35.76400819,-3.176982476,1.403557444
0.002898819,-1.144676676,4.46373928,0.986993886,2.338870118,-11.54775927,10.54548438
-0.013900465,1.33543019,21.83906127,-1.418818241,32.10289695,1.179365953,1.574590762
-0.005968783,1.155870895,21.83906127,-1.199079079,32.10289695,1.179365953,1.574590762
0.00365771,1.448540587,24.20974726,-1.086100694,22.64801867,0.722892264,1.561428368
0.001075591,-0.882201133,4.46373928,0.779735932,2.338870118,-11.54775927,10.54548438
-0.001494616,1.192834596,21.83906127,-1.247623262,32.10289695,1.179365953,1.574590762
-0.011777158,-1.340214513,4.46373928,1.150837677,2.338870118,-11.54775927,10.54548438
0.003548679,6.722468291,27.82410651,-7.925912673,35.76400819,-3.176982476,1.403557444
0.010257908,11.87326252,22.33980395,-11.38765977,21.8596375,-3.605342016,1.583743082
0.001073041,1.245344399,21.83906127,-1.343065553,32.10289695,1.179365953,1.574590762
-0.007286226,7.756058455,27.82410651,-9.164827945,35.76400819,-3.176982476,1.403557444
0.007975696,1.170908672,24.20974726,-0.827494835,22.64801867,0.722892264,1.561428368
0.012084965,8.412232771,22.33980395,-7.990161758,21.8596375,-3.605342016,1.583743082
0.001843441,-1.224540673,4.46373928,1.052759704,2.338870118,-11.54775927,10.54548438
-0.009376241,1.258100806,21.83906127,-1.293288142,32.10289695,1.179365953,1.574590762
0.002269331,1.483414326,24.20974726,-1.097341188,22.64801867,0.722892264,1.561428368
-0.003676435,-1.261767552,4.46373928,1.087248475,2.338870118,-11.54775927,10.54548438
-0.002585979,1.173513923,21.83906127,-1.206106424,32.10289695,1.179365953,1.574590762
0.001141185,6.238001619,27.82410651,-7.310273262,35.76400819,-3.176982476,1.403557444
-0.003723881,-1.434080862,4.46373928,1.222203381,2.338870118,-11.54775927,10.54548438
